Period,Quarter,Recipient Name,City,Province,Country,Title,Language,Genre,Date,Final Value,Original Value,Type,Purpose,Comments
2012-2013,P4,Revolutionary Films Inc.,Toronto,Ontario,Canada,Revolution,English,Documentary,2013-02-25,125000.00,125000.00,Investment,Theatrical Documentary Program,
2012-2013,P4,4181743 Canada Inc.,Montreal,Quebec,Canada,Ayiti Toma (AKA À la rescousse des zombies),French,Documentary,2013-02-25,57000.00,57000.00,Investment,Theatrical Documentary Program,
2012-2013,P4,Silent H Productions Inc.,Victoria,British Columbia,Canada,Jackhammer,English,Comedy,2013-02-26,62000.00,50000.00,"Investment, Recoupable Advance",Production Program,Amended contract signed  18-JAN-12
2012-2013,P4,Production Lune-Soleil (faisant affaire sous le nom de Films Prana 2000 Inc.),Saint-Lambert,Quebec,Canada,Criminelles (Les),French,Documentary,2013-02-26,20000.00,20000.00,Recoupable Advance,Marketing Program,
2012-2013,P4,Film Zone Inc.,Moncton,New Brunswick,Canada,Initiative de diffusion du cinéma de Film Zone,French,N/A,2013-02-26,10000.00,10000.00,Contribution,Promotion Program,
2012-2013,P4,Écho Média Productions II Inc.,Montreal,Quebec,Canada,MEMORIES CORNER,French,Drama (Film),2013-02-27,133671.00,150000.00,"Investment, Recoupable Advance",Production Program,Amended contract signed  17-NOV-10
2012-2013,P4,Mars et Avril Inc.,Montreal,Quebec,Canada,Mars et Avril,French,Sci.fi./Fantasy/Tale,2013-02-27,9032.00,8032.00,Contribution,International Marketing Program,Amended contract signed  26-JUL-12
2012-2013,P4,9264-2446 Québec Inc. ,Outremont,Quebec,Canada,Portfolio 2012-2013 Jessie Films II (9264-2446 Québec Inc.),French,Action/Adventure,2013-02-27,50000.00,50000.00,Recoupable Advance,Development Program,
2012-2013,P4,Narrow Path Productions Inc.,Toronto,Ontario,Canada,Empire Of Dirt,English,Drama (Film),2013-02-27,200000.00,200000.00,Investment,Production Program,
2012-2013,P4,9219-3010 Québec Inc.,Montreal,Quebec,Canada,Vic & Flo ont vu un ours,French,Drama (Film),2013-02-28,18000.00,18000.00,Contribution,International Marketing Program,
2012-2013,P4,9251-5980 Québec Inc.,Montreal,Quebec,Canada,Félix et Meira,French,Romantic Comedy,2013-03-01,200000.00,200000.00,Recoupable Advance,Production Program,
2012-2013,P4,Revue Qui Fait Quoi inc.,Repentigny,Quebec,Canada,Projet COLUMBUS 2012,French,N/A,2013-03-01,1000.00,1000.00,Contribution,Promotion Program,
2012-2013,P4,9249-9847 Québec inc.,Montreal,Quebec,Canada,Bidonville : Architectures de la ville future,French,Documentary,2013-03-01,18000.00,18000.00,Investment,Theatrical Documentary Program,
2012-2013,P4,Women In Film & Television Vancouver Society,Vancouver,British Columbia,Canada,Genre Workshop - 8th Annual Vancouver International Women in Film Festival,English,N/A,2013-03-04,3500.00,3500.00,Contribution,Promotion Program,
2012-2013,P4,Funfilm Distribution Inc.,Montreal,Quebec,Canada,Bestiaire,French,Documentary,2013-03-06,11063.00,12331.00,Recoupable Advance,International Marketing Program,Amended contract signed  05-MAR-12
2012-2013,P4,Filmoption International inc.,Westmount,Quebec,Canada,"Roche, papier, ciseaux...",French,Drama (Film),2013-03-06,341236.00,50000.00,Recoupable Advance,Marketing Program,Amended contract signed  26-JUL-12
2012-2013,P4,Films Séville Inc. (Les) / Seville Pictures Inc.,Montreal,Quebec,Canada,Inch'Allah,French,Drama (Film),2013-03-06,10000.00,10000.00,Contribution,International Marketing Program,
2012-2013,P4,Caravane Films Productions,Chicoutimi,Quebec,Canada,Développement canadien de REGARD sur le court métrage,French,N/A,2013-03-06,25000.00,25000.00,Contribution,Promotion Program,
2012-2013,P4,Forum Films (Tokyo) inc.,Montreal,Quebec,Canada,Tokyo Fiancee,French,Romantic Comedy,2013-03-06,175000.00,175000.00,"Investment, Recoupable Advance",Production Program,
2012-2013,P4,January Films Ltd.,Toronto,Ontario,Canada,Portfolio 2012-2013 January Films Limited,English,Comedy,2013-03-07,34900.00,40500.00,Recoupable Advance,Development Program,Amended contract signed  07-MAR-13
2012-2013,P4,January Films Ltd.,Toronto,Ontario,Canada,Portfolio 2012-2013 January Films Limited,English,Drama (Film),2013-03-07,40500.00,40500.00,Recoupable Advance,Development Program,Amended contract signed  07-MAR-13
2012-2013,P4,Storyline Fx Inc.,Winnipeg,Manitoba,Canada,Freeze Frame 18th Annual International Film Festival for Kids of All Ages 2013,English,N/A,2013-03-07,8500.00,8500.00,Contribution,Promotion Program,
2012-2013,P4,Blackbird Pictures (Nova Scotia) Inc.,Halifax,Nova Scotia,Canada,MOMA screening of BLACKBIRD,English,Drama (Film),2013-03-07,1310.00,1310.00,Contribution,International Marketing Program,
2012-2013,P4,1535790 Ontario Inc.,Toronto,Ontario,Canada,Our Man In Tehran,English,Documentary,2013-03-07,125000.00,125000.00,Investment,Theatrical Documentary Program,
2012-2013,P4,Alliance numérique,Montreal,Quebec,Canada,MTL DGTL 2012,French,N/A,2013-03-08,15000.00,15000.00,Contribution,Promotion Program,
2012-2013,P4,Yukon Film Society,Whitehorse,Yukon,Canada,Grub-Stake Revisited Presentation Tours (The),English,N/A,2013-03-08,5000.00,5000.00,Contribution,Promotion Program,
2012-2013,P4,Yukon Film Society,Whitehorse,Yukon,Canada,Available Light Film Festival 2013,English,N/A,2013-03-08,12500.00,12500.00,Contribution,Promotion Program,
2012-2013,P4,On Screen Manitoba ,Winnipeg,Manitoba,Canada,All Access 2013,English,N/A,2013-03-08,12000.00,12000.00,Contribution,Promotion Program,
2012-2013,P4,Creative Women Workshops Association,North Vancouver,British Columbia,Canada,Women In the Director's Chair (WIDC) Program 2013,English,N/A,2013-03-08,65000.00,65000.00,Contribution,Promotion Program,
2012-2013,P4,8290849 Canada Inc,Montreal,Quebec,Canada,Tom à la ferme,French,Drama (Film),2013-03-11,100000.00,0.00,Recoupable Advance,Mini-treaties,
2012-2013,P4,Films Séville Inc. (Les) / Seville Pictures Inc.,Montreal,Quebec,Canada,Molly Maxwell,English,Drama (Film),2013-03-11,900.00,900.00,Contribution,International Marketing Program,
2012-2013,P4,Vivatoon Inc.,Montreal,Quebec,Canada,Bali II (épisodes 53 à 104),French,Children,2013-03-12,30000.00,0.00,Recoupable Advance,Mini-treaties,
2012-2013,P4,FIRST WEEKEND CLUB,North Vancouver,British Columbia,Canada,CanadaScreens.ca,English,N/A,2013-03-12,25000.00,25000.00,Contribution,Promotion Program,
2012-2013,P4,Ciné Québec,Boucherville,Quebec,Canada,Ciné-Québec 2013,French,N/A,2013-03-13,25000.00,25000.00,Contribution,Promotion Program,
2012-2013,P4,Reprise Films Inc.,Town Of Mount Royal,Quebec,Canada,Avant que mon coeur bascule,French,Drama (Film),2013-03-13,930.00,930.00,Contribution,International Marketing Program,
2012-2013,P4,Scythia Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Scythia Films Inc.,English,Drama (Film),2013-03-14,15000.00,30000.00,Recoupable Advance,Development Program,Amended contract signed  14-MAR-13
2012-2013,P4,Scythia Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Scythia Films Inc.,English,Mystery/Crime/Police,2013-03-14,30000.00,30000.00,Recoupable Advance,Development Program,Amended contract signed  14-MAR-13
2012-2013,P4,Funfilm Distribution Inc.,Montreal,Quebec,Canada,Météore (Le),French,Drama (Film),2013-03-14,1600.00,1600.00,Contribution,International Marketing Program,
2012-2013,P4,Shocking Buckwheat Pictures Inc.,Vancouver,British Columbia,Canada,Naked Night Bike,English,Comedy,2013-03-19,38000.00,38000.00,Recoupable Advance,Production Program,
2012-2013,P4,Alberta Media Production Industries  Association (AMPIA),Edmonton,Alberta,Canada,AMPIA Professional Development Initiatives - 2013,English,N/A,2013-03-19,20000.00,20000.00,Contribution,Promotion Program,
2012-2013,P4,Medium Density Fibreboard Films Inc.,Toronto,Ontario,Canada,Tower,English,Drama (Film),2013-03-20,12300.00,10000.00,Contribution,International Marketing Program,Amended contract signed  26-JUL-12
2012-2013,P4,Rhombus Hyena Inc.,Toronto,Ontario,Canada,Hyena Road,English,Drama (Film),2013-03-20,3977948.00,3977948.00,Investment,Production Program,
2012-2013,P4,The Coup Company Ltd. ,Vancouver,British Columbia,Canada,CineCoup/Cineplex Teaser,English,N/A,2013-03-21,10000.00,10000.00,Contribution,Promotion Program,
2012-2013,P4,Brightlight Pictures Development Inc.,Burnaby,British Columbia,Canada,Portfolio 2012-2013 Brightlight Pictures Development Inc.,English,Action/Adventure,2013-03-22,22960.00,93631.00,Recoupable Advance,Development Program,Amended contract signed  22-MAR-13
2012-2013,P4,Brightlight Pictures Development Inc.,Burnaby,British Columbia,Canada,Portfolio 2012-2013 Brightlight Pictures Development Inc.,English,Romantic Comedy,2013-03-22,40785.00,93631.00,Recoupable Advance,Development Program,Amended contract signed  22-MAR-13
2012-2013,P4,Brightlight Pictures Development Inc.,Burnaby,British Columbia,Canada,Portfolio 2012-2013 Brightlight Pictures Development Inc.,English,Historical Drama,2013-03-22,49416.00,93631.00,Recoupable Advance,Development Program,Amended contract signed  22-MAR-13
2012-2013,P4,Brightlight Pictures Development Inc.,Burnaby,British Columbia,Canada,Portfolio 2012-2013 Brightlight Pictures Development Inc.,English,Thriller,2013-03-22,93631.00,93631.00,Recoupable Advance,Development Program,Amended contract signed  22-MAR-13
2012-2013,P4,Mehr Media Inc.,Vancouver,British Columbia,Canada,Kayan,English,Drama (Film),2013-03-22,6500.00,6500.00,Contribution,International Marketing Program,
2012-2013,P4,Front des réalisateurs indépendants du Canada (FRIC),Ottawa,Ontario,Canada,Programme de formation et développement professionnel 2012-13,French,N/A,2013-03-22,20000.00,20000.00,Contribution,Promotion Program,
2012-2013,P4,Association des Producteurs de Films et de TV du Québec,Montreal,Quebec,Canada,Congrès APFTQ 2012,French,N/A,2013-03-22,6600.00,6600.00,Contribution,Promotion Program,
2012-2013,P4,Red Cedar Films (Shana) Inc.,Vancouver,British Columbia,Canada,Shana - The Wolf's Music,English,Drama (Film),2013-03-25,140200.00,100000.00,Investment,Production Program,Amended contract signed  06-NOV-12
2012-2013,P4,Alliance Vivafilm Inc.,Montreal,Quebec,Canada,Légende de Sarila (La),English,Drama (Film),2013-03-25,149580.00,149580.00,Recoupable Advance,Marketing Program,
2012-2013,P4,Microscope inc.,Montreal,Quebec,Canada,Tu dors Nicole,French,Drama (Film),2013-03-25,1747503.00,1747503.00,Investment,Production Program,
2012-2013,P4,D Films Corporation,Toronto,Ontario,Canada,Roller Town,English,Comedy,2013-03-26,160671.00,385341.00,Recoupable Advance,Marketing Program,Amended contract signed  16-AUG-11
2012-2013,P4,D Films Corporation,Toronto,Ontario,Canada,Winnie,English,Historical Drama,2013-03-26,109389.00,314779.00,Recoupable Advance,Marketing Program,Amended contract signed  31-JAN-12
2012-2013,P4,Brother Productions Inc.,North Vancouver,British Columbia,Canada,Brother (The),English,Drama (Film),2013-03-27,620000.00,620000.00,Investment,Production Program,
2012-2013,P4,Happiness Productions Inc.,Vancouver,British Columbia,Canada,Hector and the Search for Happiness,English,Drama (Film),2013-03-27,1500000.00,1500000.00,Investment,Production Program,
2012-2013,P4,Screen Siren Documentary Inc.,Vancouver,British Columbia,Canada,Some Kind Of Love,English,Documentary,2013-03-27,75000.00,75000.00,Investment,Theatrical Documentary Program,
2012-2013,P4,OC Films (Canada) Inc.,Montreal,Quebec,Canada,Outcast,English,Action/Adventure,2013-03-27,2000000.00,2000000.00,Investment,Production Program,
2013-2014,P1,D Films Corporation,Toronto,Ontario,Canada,Revolution,English,Documentary,2013-04-11,1107376.00,37500.00,Recoupable Advance,Marketing Program,Amended contract signed  26-OCT-12
2013-2014,P1,"Momentum Pictures (Canada), Inc.",Toronto,Ontario,Canada,Dead Before Dawn 3D,English,Comedy,2013-04-12,135000.00,135000.00,Recoupable Advance,Marketing Program,
2013-2014,P1,Mongrel Media Inc.,Toronto,Ontario,Canada,Still Mine,English,Drama (Film),2013-04-15,632075.00,50000.00,Recoupable Advance,Marketing Program,Amended contract signed  05-FEB-13
2013-2014,P1,Zoofilms Inc.,Mansonville,Quebec,Canada,CHIENS SALES (LES),French,Musical,2013-04-16,41494.00,25000.00,Recoupable Advance,Development Program,Amended contract signed  14-JUL-08
2013-2014,P1,1987 Inc.,Montreal,Quebec,Canada,1987,French,Comedy,2013-04-17,1250000.00,1250000.00,Investment,Production Program,
2013-2014,P1,White Pine Pictures Inc.,Toronto,Ontario,Canada,"Fight Like Soldiers, Die Like Children",English,Documentary,2013-04-18,41700.00,41700.00,Recoupable Advance,Marketing Program,
2013-2014,P1,Pacific Northwest Pictures Inc.,Vancouver,British Columbia,Canada,Cas & Dylan,English,Comedy,2013-04-19,13500.00,13500.00,Recoupable Advance,Marketing Program,
2013-2014,P1,FIRST WEEKEND CLUB,North Vancouver,British Columbia,Canada,CanadaScreens.ca,English,N/A,2013-04-26,35000.00,25000.00,Contribution,Promotion Program,Amended contract signed  12-MAR-13
2013-2014,P1,Corporation de développement et de production ACPAV Inc.,Montreal,Quebec,Canada,LOUPS (LES),French,Drama (Film),2013-04-26,790000.00,790000.00,Recoupable Advance,Production Program,
2013-2014,P1,PCF Dr Cabbie Le Film Inc./PCF Dr Cabbie The Movie Inc.,Oakville,Ontario,Canada,Dr. Cabbie,English,Comedy,2013-04-29,4000000.00,4000000.00,Investment,Production Program,
2013-2014,P1,Zone3 Inc.,Montreal,Quebec,Canada,Une par jour,French,Comedy,2013-04-30,46000.00,30000.00,Recoupable Advance,Development Program,Amended contract signed  25-MAY-09
2013-2014,P1,Productions England-Girard Inc.,Saint-Hilaire,Quebec,Canada,Henry,French,Drama (Film),2013-04-30,14849.00,14849.00,Contribution,International Marketing Program,
2013-2014,P1,Corporation de développement et de production ACPAV Inc.,Montreal,Quebec,Canada,Loups (Les),French,Drama (Film),2013-05-03,200000.00,0.00,Recoupable Advance,Mini-treaties,
2013-2014,P1,A71 Entertainment Inc.,Toronto,Ontario,Canada,Blackbird,English,Drama (Film),2013-05-03,150000.00,150000.00,Recoupable Advance,Marketing Program,
2013-2014,P1,Forum Films (Roses) Inc.,Montreal,Quebec,Canada,Petite Reine (La),French,Drama (Film),2013-05-03,1400000.00,1400000.00,Investment,Production Program,
2013-2014,P1,Filmoption International inc.,Westmount,Quebec,Canada,Good lie (The) (aka Rose by Name),English,Thriller,2013-05-06,120883.00,120883.00,Recoupable Advance,Marketing Program,
2013-2014,P1,Secret Trial 5 Productions Inc.,Toronto,Ontario,Canada,Secret Trial 5 (The),English,Documentary,2013-05-08,120000.00,120000.00,Contribution,Micro-Budget Production Program,
2013-2014,P1,What We Have Productions Inc.,Toronto,Ontario,Canada,What We Have,English,Drama (Film),2013-05-08,120000.00,120000.00,Contribution,Micro-Budget Production Program,
2013-2014,P1,Alliance Vivafilm Inc.,Montreal,Quebec,Canada,MARS ET AVRIL,French,Sci.fi./Fantasy/Tale,2013-05-16,38848.00,42033.00,Recoupable Advance,Marketing Program,Amended contract signed  19-DEC-12
2013-2014,P1,"St. John's International Women's Film Festival, Inc.",St. John's,Newfoundland/Labrador,Canada,24th Annual St. John's International Women's Film Festival (2013),English,N/A,2013-05-21,17668.00,17668.00,Contribution,Promotion Program,
2013-2014,P1,Midsun Productions (Quebec) Inc.,Montreal,Quebec,Canada,Midnight Sun,English,Action/Adventure,2013-05-21,2200000.00,2200000.00,Investment,Production Program,
2013-2014,P1,Item 7 Inc.,Montreal,Quebec,Canada,Rebelle (aka Komona),French,Drama (Film),2013-05-28,22885.00,25000.00,Recoupable Advance,International Marketing Program,Amended contract signed  14-MAR-12
2013-2014,P1,Short Stop Pictures VI Ltd.,Halifax,Nova Scotia,Canada,Short Film Face Off Season Six (2013),English,N/A,2013-05-28,30000.00,30000.00,Contribution,Promotion Program,
2013-2014,P1,Cinémaginaire inc.,Montreal,Quebec,Canada,Portfolio 2013-2014 Cinémaginaire Inc.,French,Action/Adventure,2013-05-29,85700.00,116790.00,Recoupable Advance,Development Program,Amended contract signed  29-MAY-13
2013-2014,P1,Cinémaginaire inc.,Montreal,Quebec,Canada,Portfolio 2013-2014 Cinémaginaire Inc.,French,Comedy,2013-05-29,116790.00,116790.00,Recoupable Advance,Development Program,Amended contract signed  29-MAY-13
2013-2014,P1,Film Fabuleux inc.,Montreal,Quebec,Canada,Le vrai du faux (aka Furie),French,Comedy,2013-05-29,2900000.00,2900000.00,Recoupable Advance,Production Program,
2013-2014,P1,Atlantic Film Festival Association,Halifax,Nova Scotia,Canada,Atlantic Film Festival -Strategic Partners 2013,English,N/A,2013-05-29,168929.00,168929.00,Contribution,Promotion Program,
2013-2014,P1,Alliance Vivafilm Inc.,Montreal,Quebec,Canada,Cyanure,French,Drama (Film),2013-05-30,14706.00,14706.00,Recoupable Advance,Marketing Program,
2013-2014,P1,8469113 Canada Inc.,Toronto,Ontario,Canada,Pretend We're Kissing,English,Romantic Comedy,2013-05-30,120000.00,120000.00,Contribution,Micro-Budget Production Program,
2013-2014,P1,9195-7050 Québec inc.,Montreal,Quebec,Canada,Louis Cyr,French,Historical Drama,2013-05-31,3500000.00,3450000.00,Investment,Production Program,Amended contract signed  22-JUN-12
2013-2014,P1,Académie canadienne du cinéma et de la télévision / Academy of Canadian cinema and Television ,Toronto,Ontario,Canada,Tournoi de golf de l'ACCT 2013 (21e),French,N/A,2013-05-31,5000.00,5000.00,Contribution,Promotion Program,
2013-2014,P1,Association des propriétaires de cinémas du Québec,Montreal,Quebec,Canada,APCQ 2013 - SOUPER ANNUEL ,French,N/A,2013-05-31,5000.00,5000.00,Contribution,Promotion Program,
2013-2014,P1,Association des Producteurs de Films et de TV du Québec,Montreal,Quebec,Canada,Congrès APFTQ 2013,French,N/A,2013-05-31,6600.00,6600.00,Contribution,Promotion Program,
2013-2014,P1,Fondation Québec cinéma,Montreal,Quebec,Canada,Rendez-vous du cinéma québécois 2014 (32e),French,N/A,2013-05-31,107405.00,107405.00,Contribution,Promotion Program,
2013-2014,P1,Fondation Québec cinéma,Montreal,Quebec,Canada,Tournée des Rendez-vous du cinéma québécois 2013-14 (La),French,N/A,2013-05-31,57600.00,57600.00,Contribution,Promotion Program,
2013-2014,P1,9256-5456 Québec Inc.,Montreal,Quebec,Canada,STAY,English,Drama (Film),2013-06-03,750000.00,700000.00,Investment,Production Program,Amended contract signed  02-MAR-12
2013-2014,P1,Entertainment One Films Canada Inc.,Toronto,Ontario,Canada,Samaritan (The),English,Thriller,2013-06-03,205659.00,17500.00,Recoupable Advance,Marketing Program,Amended contract signed  08-MAY-12
2013-2014,P1,Whistler Film Festival Society,Whistler,British Columbia,Canada,Whistler Film Festival and Whistler Summit 2013,English,N/A,2013-06-03,35000.00,35000.00,Contribution,Promotion Program,
2013-2014,P1,Festival du nouveau cinéma de Montréal ,Montreal,Quebec,Canada,Festival du nouveau cinéma de Montréal 2013 (42e),French,N/A,2013-06-03,176920.00,176920.00,Contribution,Promotion Program,
2013-2014,P1,Alliance Films Inc.,Montreal,Quebec,Canada,Inescapable,English,Drama (Film),2013-06-04,314254.00,321560.00,Recoupable Advance,Marketing Program,Amended contract signed  08-NOV-12
2013-2014,P1,Centre du Cinéma Parallèle Inc.,Montreal,Quebec,Canada,Cinéma Parallèle - programmation annuelle canadienne 2013,French,N/A,2013-06-04,30000.00,30000.00,Contribution,Promotion Program,
2013-2014,P1,Entertainment One Films Canada Inc.,Toronto,Ontario,Canada,388 Arletta Ave,English,Horror,2013-06-05,43137.00,56250.00,Recoupable Advance,Marketing Program,Amended contract signed  25-SEP-12
2013-2014,P1,Cinéfest: The Sudbury Film Festival Inc.,Sudbury,Ontario,Canada,Cinéfest Sudbury International Film Festival 2013,English,N/A,2013-06-06,55000.00,55000.00,Contribution,Promotion Program,
2013-2014,P1,Sex & Sunsets Productions Inc.,Toronto,Ontario,Canada,Right Kind of Wrong (The),English,Romantic Comedy,2013-06-07,7500000.00,6722577.00,Investment,Production Program,Amended contract signed  20-AUG-12
2013-2014,P1,Association des cinémas parallèles du Québec,Montreal,Quebec,Canada,Réseau Plus de l'ACPQ 2013-2014,French,N/A,2013-06-07,95000.00,95000.00,Contribution,Promotion Program,
2013-2014,P1,FIRST WEEKEND CLUB,North Vancouver,British Columbia,Canada,First Weekend Club,English,N/A,2013-06-10,106080.00,106080.00,Contribution,Promotion Program,
2013-2014,P1,9278-9791 Québec inc.,Montreal,Quebec,Canada,Qu'est-ce qu'on fait ici?,French,Comedy,2013-06-11,560000.00,560000.00,Investment,Production Program,
2013-2014,P1,Remstar Films Inc.,Montreal,Quebec,Canada,JOUR DES CORNEILLES (LE),French,Sci.fi./Fantasy/Tale,2013-06-12,21941.00,73280.00,Recoupable Advance,Marketing Program,Amended contract signed  07-JUN-12
2013-2014,P1,Festival du nouveau cinéma de Montréal ,Montreal,Quebec,Canada,Cartes blanches 2013-2014,French,N/A,2013-06-12,20000.00,20000.00,Contribution,Promotion Program,
2013-2014,P1,Rencontres internationales du documentaire de Montréal,Montreal,Quebec,Canada,Recontres internationales du documentaire de Montréal 2013 (16e) - Doc Circuit Montréal (9e),French,N/A,2013-06-12,59275.00,59275.00,Contribution,Promotion Program,
2013-2014,P1,Sacrificial Lamb Productions Inc.,Winnipeg,Manitoba,Canada,Teen Lust,English,Comedy,2013-06-12,500000.00,500000.00,Investment,Production Program,
2013-2014,P1,Banff Television Festival Foundation,Toronto,Ontario,Canada,Banff World Media Festival 2013 & nextMEDIA & Co-Pro Business Market ,English,N/A,2013-06-13,199000.00,199000.00,Contribution,Promotion Program,
2013-2014,P1,Festival canadien des films du monde,Montreal,Quebec,Canada,Festival des films du monde 2013 (37e),French,N/A,2013-06-14,327683.00,327683.00,Contribution,Promotion Program,
2013-2014,P1,Gaéa Films Inc.,Montreal,Quebec,Canada,Portfolio 2013-2014 Gaéa Films Inc.,French,Comedy,2013-06-17,77276.00,162276.00,Recoupable Advance,Development Program,Amended contract signed  17-JUN-13
2013-2014,P1,Gaéa Films Inc.,Montreal,Quebec,Canada,Portfolio 2013-2014 Gaéa Films Inc.,French,Mystery/Crime/Police,2013-06-17,162276.00,162276.00,Recoupable Advance,Development Program,Amended contract signed  17-JUN-13
2013-2014,P1,Dreamspeakers Festival Society,Edmonton,Alberta,Canada,Dreamspeakers - 2013,English,N/A,2013-06-18,16377.00,16377.00,Contribution,Promotion Program,
2013-2014,P1,"Crawlspace Films, Inc.",St. John's,Newfoundland/Labrador,Canada,Cast No Shadow,English,Drama (Film),2013-06-19,120000.00,120000.00,Contribution,Micro-Budget Production Program,
2013-2014,P1,Canadian Film Institute,Ottawa,Ontario,Canada,Ottawa International Animation Festival 2013,English,N/A,2013-06-19,47750.00,47750.00,Contribution,Promotion Program,
2013-2014,P1,Port Dundas PD Film Inc.,Toronto,Ontario,Canada,Calling (The),English,Thriller,2013-06-21,650000.00,650000.00,Investment,Production Program,
2013-2014,P1,Starmaps Productions Inc.,Toronto,Ontario,Canada,Maps to the Stars,English,Drama (Film),2013-06-21,3500000.00,3500000.00,"Investment, Recoupable Advance",Production Program,
2013-2014,P1,Gimli Film Festival Inc. ,Gimli,Manitoba,Canada,Gimli Film Festival 2013,English,N/A,2013-06-25,15000.00,15000.00,Contribution,Promotion Program,
2013-2014,P1,Dykon Films Inc.,Toronto,Ontario,Canada,Margarita,English,Drama (Film),2013-06-27,28168.00,28168.00,Recoupable Advance,Marketing Program,
2013-2014,P1,F Word Productions Inc.,Toronto,Ontario,Canada,What If,English,Romantic Comedy,2013-06-28,4000000.00,3500000.00,Investment,Production Program,Amended contract signed  10-AUG-12
2013-2014,P1,9283-0116 Québec Inc.,Town Of Mount Royal,Quebec,Canada,Autrui,French,Drama (Film),2013-06-28,460000.00,460000.00,Investment,Production Program,
2013-2014,P2,Remstar Films Inc.,Montreal,Quebec,Canada,Liverpool,French,Romantic Comedy,2013-07-02,239961.00,303694.00,Recoupable Advance,Marketing Program,Amended contract signed  29-MAY-12
2013-2014,P2,Open Roof Films Entertainment Inc.,Toronto,Ontario,Canada,2013 Open Roof Festival,English,N/A,2013-07-02,15000.00,15000.00,Contribution,Promotion Program,
2013-2014,P2,Edmonton International Film Festival Society,Edmonton,Alberta,Canada,EDMONTON INTERNATIONAL FILM FESTIVAL,English,N/A,2013-07-02,21313.00,21313.00,Contribution,Promotion Program,
2013-2014,P2,Entertainment One Films Canada Inc.,Toronto,Ontario,Canada,Home Again ,English,Drama (Film),2013-07-03,103083.00,112500.00,Recoupable Advance,Marketing Program,Amended contract signed  19-NOV-12
2013-2014,P2,Films Séville Inc. (Les) / Seville Pictures Inc.,Montreal,Quebec,Canada,Toucher le ciel,French,Documentary,2013-07-04,178686.00,201067.00,Recoupable Advance,Marketing Program,Amended contract signed  09-NOV-12
2013-2014,P2,Toronto Reel Asian International Film Festival,Toronto,Ontario,Canada,Toronto Reel Asian International Film Festival 2013,English,N/A,2013-07-05,12000.00,12000.00,Contribution,Promotion Program,
2013-2014,P2,Go Films L.P.R.S. inc.,Outremont,Quebec,Canada,Portfolio 2013-2014 Go Films L.P.R.S. Inc.,French,Drama (Film),2013-07-08,78120.00,119854.00,Recoupable Advance,Development Program,Amended contract signed  08-JUL-13
2013-2014,P2,Go Films L.P.R.S. inc.,Outremont,Quebec,Canada,Portfolio 2013-2014 Go Films L.P.R.S. Inc.,English,Thriller,2013-07-08,93120.00,119854.00,Recoupable Advance,Development Program,Amended contract signed  08-JUL-13
2013-2014,P2,Go Films L.P.R.S. inc.,Outremont,Quebec,Canada,Portfolio 2013-2014 Go Films L.P.R.S. Inc.,French,Thriller,2013-07-08,119854.00,119854.00,Recoupable Advance,Development Program,Amended contract signed  08-JUL-13
2013-2014,P2,Films Baliverna Inc. (les),Montreal,Quebec,Canada,Portfolio 2013-2014 Films Baliverna Inc. (les),French,Historical Drama,2013-07-08,10000.00,25000.00,Recoupable Advance,Development Program,Amended contract signed  08-JUL-13
2013-2014,P2,Films Baliverna Inc. (les),Montreal,Quebec,Canada,Portfolio 2013-2014 Films Baliverna Inc. (les),French,Sci.fi./Fantasy/Tale,2013-07-08,25000.00,25000.00,Recoupable Advance,Development Program,Amended contract signed  08-JUL-13
2013-2014,P2,Ciné Qua Non Média Inc.,Montreal,Quebec,Canada,Portfolio 2013-2014 Ciné Qua Non Média inc.,French,Western,2013-07-08,25000.00,25000.00,Recoupable Advance,Development Program,
2013-2014,P2,Odd Sock Films Inc.,St. John's,Newfoundland/Labrador,Canada,Portfolio 2013-2014 Odd Sock Films Inc.,English,Comedy,2013-07-08,25000.00,25000.00,Recoupable Advance,Development Program,
2013-2014,P2,Standing 8 Productions Inc.,Halifax,Nova Scotia,Canada,Portfolio 2013-2014 Standing 8 Productions Inc.,English,Action/Adventure,2013-07-09,37467.00,62467.00,Recoupable Advance,Development Program,Amended contract signed  09-JUL-13
2013-2014,P2,Standing 8 Productions Inc.,Halifax,Nova Scotia,Canada,Portfolio 2013-2014 Standing 8 Productions Inc.,English,Drama (Film),2013-07-09,62467.00,62467.00,Recoupable Advance,Development Program,Amended contract signed  09-JUL-13
2013-2014,P2,Stone Cold Productions Limited,Dartmouth,Nova Scotia,Canada,Portfolio 2013-2014 Stone Cold Productions Limited,English,Horror,2013-07-09,20000.00,35000.00,Recoupable Advance,Development Program,Amended contract signed  09-JUL-13
2013-2014,P2,Stone Cold Productions Limited,Dartmouth,Nova Scotia,Canada,Portfolio 2013-2014 Stone Cold Productions Limited,English,Thriller,2013-07-09,35000.00,35000.00,Recoupable Advance,Development Program,Amended contract signed  09-JUL-13
2013-2014,P2,7859171 Canada inc.,Montreal,Quebec,Canada,Esimésac,French,Drama (Film),2013-07-09,2119953.00,2125000.00,Investment,Production Program,Amended contract signed  19-SEP-11
