Period,Quarter,Recipient Name,City,Province,Country,Title,Language,Genre,Date,Final Value,Original Value,Type,Purpose,Comments
2016-2017,P4,Fluent Films Inc.,Montreal,Quebec,Canada,Portfolio 2016-2017 Fluent Films Inc.,English,Drama,2017-02-01,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Raven Banner Releasing Inc.,Toronto,Ontario,Canada,Stegman Is Dead,English,Comedy,2017-02-01,74250.00,74250.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Productions Ajoupà Ltée (Les),Longueuil,Quebec,Canada,Portfolio 2016-2017 Productions Ajoupà Ltée (Les),English,Drama,2017-02-02,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Zoofilms Inc.,Mansonville,Quebec,Canada,Portfolio 2016-2017 Zoofilms Inc.,French,Musical,2017-02-03,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Montefiore Films Inc.,Sudbury,Ontario,Canada,Portfolio 2016-2017 Montefiore Films Inc.,English,Thriller,2017-02-06,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Neophyte Productions Inc.,Toronto,Ontario,Canada,Portfolio 2016-2017 Neophyte Productions Inc.,English,Comedy,2017-02-06,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,TimeLapse Pictures Productions Inc.,Toronto,Ontario,Canada,Portfolio 2016-2017 TimeLapse Pictures Productions Inc.,English,Science fiction/Fantasy/Tale,2017-02-06,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,YN Films Inc.,Toronto,Ontario,Canada,Portfolio 2016-2017 YN Films Inc.,English,Comedy,2017-02-06,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Farpoint Films Inc.,Winnipeg,Manitoba,Canada,Portfolio 2016-2017 Farpoint Films Inc.,English,Thriller,2017-02-07,30000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Farpoint Films Inc.,Winnipeg,Manitoba,Canada,Portfolio 2016-2017 Farpoint Films Inc.,English,Horror,2017-02-07,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Resonance Films Inc. ,Vancouver,British Columbia,Canada,Portfolio 2016-2017 Resonance Films Inc.,English,Comedy,2017-02-07,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Screen Siren Pictures Inc.,Vancouver,British Columbia,Canada,Portfolio 2016-2017 Screen Siren Pictures Inc.,English,Romantic Comedy,2017-02-07,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Industry Pictures Inc.,Toronto,Ontario,Canada,Portfolio 2016-2017 Industry Pictures Inc.,English,Drama,2017-02-09,15000.00,15000.00,Recoupable Advance,Development Program,
